ProductId,Title,Description,Price,Discount
54,Noise Cancelling Headphones,Active noise-cancelling over-ear headphones,140.82,36
55,Smart Door Lock,Fingerprint smart lock with remote access,747.17,24
56,Phone Screen Protector,Tempered glass protector for smartphones,238.53,38
57,Noise Cancelling Headphones,Active noise-cancelling over-ear headphones,773.32,8
58,Noise Cancelling Headphones,Active noise-cancelling over-ear headphones,120.66,32
59,Smart Light Bulb,Wi-Fi enabled LED bulb with color control,245.32,24
60,Smart Door Lock,Fingerprint smart lock with remote access,750.65,31
61,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,691.97,49
62,Smartphone Stand,Adjustable stand compatible with all phones,104.18,45
63,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,625.61,32
64,Wireless Earbuds,True wireless earbuds with noise reduction,30.2,30
65,Wireless Earbuds,True wireless earbuds with noise reduction,534.01,23
66,Smartphone Stand,Adjustable stand compatible with all phones,241.2,30
67,HDMI Cable,6-feet high-speed HDMI cable with gold connectors,485.54,5
68,Wireless Mouse,Ergonomic wireless mouse with 2.4 GHz connection,189.82,5
69,Fitness Tracker,Waterproof fitness tracker with heart rate monitor,416.27,37
70,Fitness Tracker,Waterproof fitness tracker with heart rate monitor,982.88,17
71,VR Headset,Virtual reality headset compatible with most phones,615.03,20
72,VR Headset,Virtual reality headset compatible with most phones,337.71,17
73,USB-C Hub,"7-in-1 USB-C hub with HDMI, SD, and USB ports",175.64,32
74,VR Headset,Virtual reality headset compatible with most phones,893.44,30
75,Wireless Charger,Fast wireless charger for Qi-enabled devices,185.65,49
76,Smart Light Bulb,Wi-Fi enabled LED bulb with color control,804.11,5
77,Wireless Charger,Fast wireless charger for Qi-enabled devices,300.01,13
78,Bluetooth Keyboard,Ultra-slim Bluetooth keyboard for tablets,285.17,24
79,Wireless Charger,Fast wireless charger for Qi-enabled devices,675.2,12
80,Noise Cancelling Headphones,Active noise-cancelling over-ear headphones,118.16,26
81,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,234.57,29
82,HDMI Cable,6-feet high-speed HDMI cable with gold connectors,137.44,11
83,VR Headset,Virtual reality headset compatible with most phones,731.98,43
84,Smart Light Bulb,Wi-Fi enabled LED bulb with color control,205.18,13
85,Laptop Cooling Pad,Silent cooling pad for laptops with dual fans,968.0,25
86,Wireless Charger,Fast wireless charger for Qi-enabled devices,591.12,35
87,VR Headset,Virtual reality headset compatible with most phones,498.47,35
88,VR Headset,Virtual reality headset compatible with most phones,749.4,28
89,Noise Cancelling Headphones,Active noise-cancelling over-ear headphones,869.09,38
90,USB-C Hub,"7-in-1 USB-C hub with HDMI, SD, and USB ports",370.5,26
91,USB-C Hub,"7-in-1 USB-C hub with HDMI, SD, and USB ports",104.12,24
92,Wireless Earbuds,True wireless earbuds with noise reduction,945.07,46
93,Bluetooth Keyboard,Ultra-slim Bluetooth keyboard for tablets,203.3,41
94,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,969.69,44
95,Phone Screen Protector,Tempered glass protector for smartphones,162.92,24
96,Wireless Charger,Fast wireless charger for Qi-enabled devices,371.6,38
97,Smart Light Bulb,Wi-Fi enabled LED bulb with color control,93.45,40
98,VR Headset,Virtual reality headset compatible with most phones,851.27,22
99,Tablet Cover,Protective cover for 10-inch tablets,174.66,39
100,VR Headset,Virtual reality headset compatible with most phones,148.97,30
